Freq.	V(output)
Step Information: A=990m  (Run: 1/5)
5.62341325190346e+001	(8.52295783525677e-002dB,-3.85084374172671e+000°)
5.75439937337154e+001	(8.52594795127836e-002dB,-3.94069502242907e+000°)
5.88843655355586e+001	(8.52906775469927e-002dB,-4.03265017469910e+000°)
6.02559586074355e+001	(8.53232227354926e-002dB,-4.12675898592335e+000°)
6.16595001861479e+001	(8.53571666820478e-002dB,-4.22307245881596e+000°)
6.30957344480190e+001	(8.53925622752862e-002dB,-4.32164284367002e+000°)
6.45654229034652e+001	(8.54294636385370e-002dB,-4.42252367163777e+000°)
6.60693448007593e+001	(8.54679260665558e-002dB,-4.52576978908293e+000°)
6.76082975391978e+001	(8.55080059476151e-002dB,-4.63143739305067e+000°)
6.91830970918933e+001	(8.55497606690069e-002dB,-4.73958406790319e+000°)
7.07945784384134e+001	(8.55932485040066e-002dB,-4.85026882317211e+000°)
7.24435960074986e+001	(8.56385284780903e-002dB,-4.96355213267997e+000°)
7.41310241300914e+001	(8.56856602118286e-002dB,-5.07949597498868e+000°)
7.58577575029180e+001	(8.57347037378222e-002dB,-5.19816387523305e+000°)
7.76247116628688e+001	(8.57857192886183e-002dB,-5.31962094840297e+000°)
7.94328234724277e+001	(8.58387670522370e-002dB,-5.44393394414033e+000°)
8.12830516164095e+001	(8.58939068917581e-002dB,-5.57117129312028e+000°)
8.31763771102667e+001	(8.59511980246422e-002dB,-5.70140315509115e+000°)
8.51138038202372e+001	(8.60106986576115e-002dB,-5.83470146865075e+000°)
8.70963589956076e+001	(8.60724655718929e-002dB,-5.97114000284158e+000°)
8.91250938133741e+001	(8.61365536534950e-002dB,-6.11079441065171e+000°)
9.12010839355905e+001	(8.62030153624690e-002dB,-6.25374228451371e+000°)
9.33254300796986e+001	(8.62719001344705e-002dB,-6.40006321389832e+000°)
9.54992586021431e+001	(8.63432537074113e-002dB,-6.54983884510570e+000°)
9.77237220955805e+001	(8.64171173651042e-002dB,-6.70315294336251e+000°)
9.99999999999995e+001	(8.64935270889397e-002dB,-6.86009145733962e+000°)
1.02329299228075e+002	(8.65725126080451e-002dB,-7.02074258621082e+000°)
1.04712854805089e+002	(8.66540963369410e-002dB,-7.18519684938101e+000°)
1.07151930523760e+002	(8.67382921891154e-002dB,-7.35354715901804e+000°)
1.09647819614318e+002	(8.68251042531605e-002dB,-7.52588889553120e+000°)
1.12201845430196e+002	(8.69145253176120e-002dB,-7.70231998614629e+000°)
1.14815362149688e+002	(8.70065352282242e-002dB,-7.88294098673624e+000°)
1.17489755493952e+002	(8.71010990608117e-002dB,-8.06785516707403e+000°)
1.20226443461741e+002	(8.71981650902682e-002dB,-8.25716859968536e+000°)
1.23026877081237e+002	(8.72976625350069e-002dB,-8.45099025248587e+000°)
1.25892541179416e+002	(8.73994990537420e-002dB,-8.64943208539984e+000°)
1.28824955169313e+002	(8.75035579692245e-002dB,-8.85260915116602e+000°)
1.31825673855640e+002	(8.76096951912477e-002dB,-9.06063970054799e+000°)
1.34896288259165e+002	(8.77177358082738e-002dB,-9.27364529217716e+000°)
1.38038426460288e+002	(8.78274703140638e-002dB,-9.49175090726818e+000°)
1.41253754462275e+002	(8.79386504325464e-002dB,-9.71508506945849e+000°)
1.44543977074592e+002	(8.80509845002714e-002dB,-9.94377997003567e+000°)
1.47910838816820e+002	(8.81641323621186e-002dB,-1.01779715988294e+001°)
1.51356124843620e+002	(8.82776997311869e-002dB,-1.04177998810568e+001°)
1.54881661891247e+002	(8.83912319595252e-002dB,-1.06634088204234e+001°)
1.58489319246110e+002	(8.85042071606170e-002dB,-1.09149466487939e+001°)
1.62181009735892e+002	(8.86160286191292e-002dB,-1.11725659827618e+001°)
1.65958690743755e+002	(8.87260164170415e-002dB,-1.14364239874573e+001°)
1.69824365246173e+002	(8.88333981984865e-002dB,-1.17066825479469e+001°)
1.73780082874936e+002	(8.89372989878838e-002dB,-1.19835084485896e+001°)
1.77827941003891e+002	(8.90367299680421e-002dB,-1.22670735607254e+001°)
1.81970085860997e+002	(8.91305761156418e-002dB,-1.25575550390821e+001°)
1.86208713666286e+002	(8.92175825818339e-002dB,-1.28551355272969e+001°)
1.90546071796323e+002	(8.92963396947796e-002dB,-1.31600033729521e+001°)
